zip,total,overall_total,percent_total
21669,1660.5,20328513.18,8.168329800103955e-5
21671,3601.3,20328513.18,1.771551105637722e-4
21672,229,20328513.18,1.126496551775854e-5
21673,2351.5,20328513.18,1.1567496251095724e-4
21676,1101,20328513.18,5.416038006572992e-5
21677,111.5,20328513.18,5.484906791397717e-6
21678,2775.46,20328513.18,1.365303982354503e-4
21679,257,20328513.18,1.2642341214253033e-5
21701,104139.09,20328513.18,0.005122808986466171
21702,59244.57,20328513.18,0.0029143582452595285
21703,28041.77,20328513.18,0.0013794304458817287
21704,22291.88,20328513.18,0.0010965819193275602
21705,1584.5,20328513.18,7.79447068248402e-5
21710,12793.66,20328513.18,6.293455840433481e-4
21711,38.5,20328513.18,1.8938915826799292e-6
21713,5475.23,20328513.18,2.6933745481134096e-4
21714,1572.5,20328513.18,7.735440295491399e-5
21715,965,20328513.18,4.7470269539899526e-5
21716,5642.74,20328513.18,2.775776049156193e-4
21717,732.5,20328513.18,3.603313206007917e-5
21718,3694,20328513.18,1.8171520795895216e-4
21719,25,20328513.18,1.229799729012941e-6
21720,60,20328513.18,2.9515193496310584e-6
21722,851.5,20328513.18,4.1886978770180774e-5
21723,367.5,20328513.18,1.8078056016490232e-5
21727,4511.63,20328513.18,2.2193605405626622e-4
21730,0,20328513.18,0
21733,287,20328513.18,1.4118100889068563e-5
21734,133,20328513.18,6.542534558348846e-6
21737,7322.46,20328513.18,3.6020637294832404e-4
21738,15037.92,20328513.18,7.397451976367315e-4
21740,19179.42,20328513.18,9.434738207450151e-4
21741,640,20328513.18,3.148287306273129e-5
21742,32889.41,20328513.18,0.0016178955002158206
21743,30,20328513.18,1.4757596748155292e-6
21750,14904.93,20328513.18,7.332031549982742e-4
21753,216.5,20328513.18,1.0650065653252069e-5
